点赞数,评论数,转发数,发布时间,微博内容
3,0,1,2024-6-3 11:11,【中国低轨宽带卫星互联网落地泰国】作为低轨宽带卫星互联网技术“走出去”的关键一步，中国商业航天公司正通过实践探索，用航天技术助力“一带一路”空间信息走廊建设。（新华社） 中国低轨宽带卫星互联网落地泰国 
8,0,4,2024-5-31 9:56,【老王在中国：可不止是个“吃播”网红】“呀哈比比（亲爱的朋友），我是你们的好兄弟老王！”从伊拉克到叙利亚，再到中国，而立之年的伊拉克小哥王立轩在中国找到了弥足珍贵的安全感，也找到了人生努力的方向。他用探店“吃播”的方式展示着中国的美食文化和人间温情，网友也用弹幕展示着对他的喜爱。新华社专访王立轩，一起来听听他的故事。（新华社）
4,0,6,2024-5-30 10:58,【海报｜务实合作，硕果累累——数字中的中阿关系20年】今年是中国-阿拉伯国家合作论坛成立二十周年。5月30日，中阿合作论坛第十届部长级会议在北京召开，中阿合作再次迎来“高光时刻”。（新华社） 
9,0,7,2024-5-29 15:30,【贵州至巴基斯坦“一带一路”国际货运航线正式开通】5月28日，一架载有6吨服装、电子产品等商品的全货机在贵阳龙洞堡国际机场顺利起飞，在近6小时后抵达巴基斯坦卡拉奇。随后，该架飞机将装满来自巴基斯坦的青蟹返回贵阳。这是贵州到巴基斯坦的首条空中航线，也是贵州首条“一带一路”国际货运航线。（新华社）
6,0,5,2024-5-28 10:18,【第二届“一带一路”国际技能大赛6月将在渝举行】6月24日至26日，由人力资源和社会保障部、国家发展改革委、国家国际发展合作署、重庆市人民政府共同主办的第二届“一带一路”国际技能大赛将在重庆举行。届时，来自“一带一路”共建国家、世界技能组织成员国家和地区的选手将同台竞技、交流技术。（新华社）
14,0,8,2024-5-27 11:17,【中欧班列累计开行9万列】5月25日，随着X8157次中欧班列（西安—马拉舍维奇）从西安国际港站开出，中欧班列累计开行9万列。截至目前，中欧班列共发送货物超870万标箱、货值超3800亿美元，通达欧洲25个国家223个城市，连接11个亚洲国家超过100个城市，服务网络基本覆盖欧亚全境。（新华社）
6,0,4,2024-5-23 16:33,【在“世界超市”遇到能“说”各国语言的老板娘】“老板娘，我们下周见！”“好的，下周见！”多年前从老家江西来到浙江义乌打拼事业的孙丽娟，如今已是一家玩具厂的老板娘，店面就开在义乌国际商贸城里。电话另一端，是在墨西哥首都墨西哥城经营一家日用品超市的卡洛斯·罗德里格斯。再过几天，罗德里格斯就要到孙丽娟的店选购新一季商品。（新华社）
11,0,7,2024-5-22 15:49,【中企承建移民新村为科特迪瓦北部村民开启幸福新生活】在科特迪瓦北部城镇费尔凯塞杜古以北15公里处，一排排红黄相间的新房坐落在蓝天绿树间，一群孩子在平整的足球场上开心地踢球，几名妇女顶着一盆盆衣服前去晾晒。2022年6月，为配合科特迪瓦北部旱港的筹建工作，中成股份科特迪瓦分公司在当地政府支持和配合下，为受影响的三个自然村的村民修建了移民新村。（新华社）
14,0,8,2024-5-21 16:59,【中企承建的东南亚最大漂浮光伏项目助力印尼当地发展】芝拉塔漂浮光伏项目由中国企业承建，入选为印尼国家级重点战略方针项目，是印尼首个也是东南亚最大的漂浮光伏项目，对印尼清洁能源技术的发展，实现能源转型具有里程碑式的意义。（新华社） 中国一带一路网的微博视频 
6,0,4,2024-5-20 17:48,【“港口城是斯中两国互利共赢的典范”——斯里兰卡人眼中的科伦坡港口城】在斯里兰卡首都，科伦坡港口城建设已进入第十个年头，是斯里兰卡与中国共建“一带一路”重点合作项目。十年间，港口城从填海造地到招商引资，如今已初具一座蓬勃发展的新城雏形。（新华社） “港口城是斯中两国互利共赢的典范”——斯里兰卡人眼中的科伦坡港口 
