页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,关注数,粉丝数,性别,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5.03943E+15,阳江新闻NEWS,2024-5-29 17:55,【广东海丝馆：创新博物馆发展路径，推动文旅深度融合】2007年，这艘命名为“南海I号”的宋代古沉船被整体打捞出水。从2013年开始，历经10年的船体发掘，目前已进入全新的沉船总体保护阶段。以“南海I号”为载体，未来广东海上丝绸之路博物馆在文物考古保护、文创开发、文旅融合等方面有何发展规划？ 阳江新闻NEWS的微博视频,0,0,0,191,1.7万,m,,阳江,广东,中国
2,5.03893E+15,周立太律师,2024-5-28 9:03,"知识产权司法保护典型案例五 | 郭某某等销售假冒注册商标的商品罪一案喀什中院编者按近年来，喀什中院主动融入国家向西开放总体布局，加快丝绸之路经济带核心区重要支点建设和中国（新疆）自由贸易试验区喀什片区建设，牢固树立“保护知识产权就是保护创新”的理念，深入推进审判机制改革创新，全面强化知识产权司法保护，不断提高知识产权司法保护效能，为喀什经济高质量发展提供了有力司法保护。为充分发挥典型案例的示范引导作用，发布知识产权司法保护系列典型案例，增强全社会尊重和保护知识产权意识。案例五郭某某等销售假冒注册商标的商品罪一案【案件索引】一审：喀什地区中级人民法院（2024）新31刑初1号。【案件简介】2016至2018年期间被告人郭某某、王某某经营喀什市某汽车配件销售店时，以低价大量购进假冒注册商标的本田牌和福特牌的汽车配件运输至位于喀什市多来特巴格乡某村的仓库内和位于喀什市某汽车配件销售店，并向喀什市及周边县市修理厂和个人销售获利。另进购符合国家标准的汽车配件，混同假冒注册商标的本田牌、福特牌汽车配件一起对外销售获利。案发时公安机关在其经营的店铺和仓库内共查获假冒注册商标的本田牌和福特牌汽车配件共计2565件，价值435,801元。查明其对外销售假冒注册商标的本田牌和福特牌汽车配件销售金额共计19,385元。新疆维吾尔自治区人民检察院喀什分院以该两被告构成销售假冒注册商标的商品罪向法院提起诉讼。【法院裁判】法院认为，被告人郭某某、王某某明知是假冒注册商标的商品而进行销售，未销售商品货值数额巨大，该行为已构成销售假冒注册商标的商品罪。但考虑二被告人均系初犯，且并非生产源头，案发后如实供述犯罪事实，自愿认罪认罚，已销售假冒注册商标的商品未造成财产和人员损害，已退缴销售金额，法院以销售假冒注册商标的商品罪，判处郭某某有期徒刑三年，缓刑四年，并处罚金人民币6万元，判处王某某有期徒刑二年，缓刑三年，并处罚金人民币4万元。【典型意义】本案系经营者在经营的过程中因逐利，在销售时真假混卖、挂真卖假的行为而触犯刑法。通过此案充分警示企业或经营者在经营管理的过程中，不要妄图侥幸以混卖的方式欺骗消费者，否则将面临刑事制裁。该案提醒市场经营者侵犯知识产权不仅要担民事责任、还可能遭到行政或刑事制裁，故在市场经营中守法经营、尊重他人知识产权才是避免经营风险的守则。供稿：民二庭编辑：尼鲁潘审核：李小进 李军渊",0,0,3,3553,49.7万,m,重庆,重庆,重庆,中国
2,5.0389E+15,闪电触角,2024-5-28 6:41,新疆伊宁市一位姑娘用艾德莱斯绸自制了一条马面裙，裙子上身效果惊艳网友。据悉，艾德莱斯绸被称为古丝绸之路的“活化石”。2008年，传统的艾德莱斯绸织造工艺入选国家级非物质文化遗产名录。网友：有融合，有创新，太美了！#马面裙给曹县汉服设计师引来港商# 新疆姑娘用艾德莱斯绸做马面裙 网友：太惊艳了！ 人民网的微博视频,1,0,1,12,281,m,,济南,山东,中国
2,5.03685E+15,国网陕西电力,2024-5-22 15:09,#双满意在行动##万家灯火掌灯人##媒体聚焦陕电#【亮报|西咸公司：创新驱动 绿色发展】 陕西是古丝绸之路的起点，陕西西咸新区是我国首个以创新城市发展方式为主题的国家级新区。西咸新区成立以来，建设规模全面提升，重大项目密集落地，市场主体快速壮大，已成为陕西发展的新引擎。近年来，国网陕西省电力有限公司精准决策，超前谋划，将陕西西咸新区供电公司作为数字化转型工作的先行区，坚持“让人民群众满意、让党和政府满意”的“双满意”工作导向，以创新驱动加速电网高质量发展。#做好人民电小二# @国网西咸新区供电公司  西咸公司：创新驱动 绿色发展,12,7,5,502,13.8万,m,,西安,陕西,中国
2,5.03679E+15,女友家园,2024-5-22 11:13,弘扬丝路精神、凝聚女性智慧！由陕西省妇联、陕西省生态环境厅等主办，以“设计让生活更美好”为主题的#第八届丝绸之路女性创新设计大赛# ，近期在第二届香港国际文化创意博览会上隆重启动。👏征集火热进行中，戳链接参与报名：设计美好未来！第八届丝绸之路女性创新设计大赛作品征集开始啦~ 一起来回顾大赛历届成果！ 女友家园的微博视频 ,0,0,0,583,69.8万,f,,西安,陕西,中国
2,5.03677E+15,成渝金融法院,2024-5-22 9:46,#融法读报# 1.海南着力推动四大主导产业高质量发展；2.习近平致电祝贺西莉娅诺夫斯卡—达夫科娃就任北马其顿总统；3.习近平向乍得当选总统穆罕默德致贺电；4.“数字丝绸之路”建设提速（奋进中国式现代化·一线见闻）；5.坚持金融服务实体经济 推动金融高质量发展；6.一栋楼里的创新链（高质量发展调研行）；7.港珠澳大桥出入境旅客今年已超过一千万人次（新数据 新看点）；8.图片报道。详情↓↓@人民日报 《人民日报》（电子版）的一切内容(包括但不限于文字、图片、PDF、图表、标志、标识、商标、版面设计、专栏目录与名称、内容分类标准以及为读者提供的任何信息)仅供人民网读者阅读、学习研究使用，未经人民网股份有限公司及/或相关权利人书面授权，任何单位及个人不得将《人民日报》（电子版）所登载、发布的内容用于商业性目的，包括但不限于转载、复制、发行、制作光盘、数据库、触摸展示等行为方式，或将之在非本站所属的服务器上作镜像。否则，人民网股份有限公司将采取包括但不限于网上公示、向有关部门举报、诉讼等一切合法手段，追究侵权者的法律责任,0,0,0,229,1万,f,,重庆,重庆,中国
2,5.03646E+15,南方周末,2024-5-21 13:11,今天是#国际茶日#，源自中国的好茶正穿越历史、跨越国界，被世界的爱茶人品享。茶马古道上远去的阵阵驼铃声，仿佛还在讲述那段悠长的茶马岁月，而当代的中国茶人@品品香茶业 用坚守和创新，打造大国品牌，带领中国的一杯好茶，走向世界。从古代丝绸之路、茶马古道，到今天丝绸之路经济带、21世纪海上丝绸之路，一杯好茶，从中国出发，这是属于中国的#茶之道#。转发说说你是从什么时候开始喝茶的，并@南方周末 和 @品品香茶业，抽10位送出品品香晒白金2020品鉴茶！ 南方周末的微博视频,172,71,353,271,1841.9万,m,,广州,广东,中国
2,5.03648E+15,有成乃大,2024-5-21 14:53,#90后创始人带中国茶走向世界#从丝绸之路到互联网路，茶香穿越时空，连接你我，共饮这杯传承与创新。 ,0,0,0,329,1156,m,江苏,南京,江苏,中国
2,5.03543E+15,南方都市报,2024-5-18 16:57,#文化中国行#【#从广州出发的南海I号#：重磅考古研究与博物馆展览创新】5月18日是第48个国际博物馆日，当天上午，第二十一届（2023年度）全国博物馆十大陈列展览精品终评结果揭晓，其中，南越王博物院“从广州出发——‘南海I号’与海上丝绸之路”展览荣获优胜奖。#文化中国行看博物馆之宝#今年国际博物馆日的主题为“博物馆致力于教育和研究(Museums for Education and Research)”。博物馆作为传承历史、传播知识的课堂，可以通过展览，将最新的考古研究成果及时呈现在公众面前。在这方面，“从广州出发”大展，可谓创下了惊艳国内外同行的“广东速度”。南越王博物院副院长李灶新介绍，从2022年广东公布相关重大考古成果，到粤港澳三地牵头收集421件（套）珍贵藏品，再到正式开放展览参观，策展团队仅用了一年时间。他总结说，“新”是这个展览最大的特色，此次创新实践，也为落实考古成果及时转化为博物馆展示传播、助力文博事业高质量发展，提供了有益的“湾区案例”。近日，南都、N视频记者采访了著名考古专家李岩，广东省文物考古研究院水下考古研究所所长肖达顺，南越王博物院研究部馆员、“从广州出发”策展人潘洁，结合历史资料，多角度还原这个精品大展的诞生过程。 “从广州出发”的南海I号：重磅考古研究与博物馆展览创新,1,0,2,924,1964.2万,m,,广州,广东,中国
2,5.03505E+15,王丽钧·花一溪轩主人·蘭靜香有聲,2024-5-17 16:20,中国国家画院曾来德导师工作室丝绸之路写生采风完美收官:1.向老师汇报研学感受与收获，老师指导作业并分享在大西北艰苦军旅生活与艺术生涯不断创新、探索与追求。要求学生要具备大胸怀、大格局和坚定的艺术信念。2.老师为我艺术馆取名并提写匾额。3.感恩感谢敦煌河西走廊大酒店张总、姚总、可爱滴小裴总，感谢乐动敦煌；感谢张掖王馆长、张主任；感谢兰州今日头条胡总、黎明师兄、天庆博物馆李馆长、翰墨逸品张总、古玩城陈总、今日头条任大帅哥、暂借堂张总、白鸽女士、宜兴范总；感谢唐山有竹艺术馆馆长佩萍女士；感谢互敬互爱的全体曾来德导师工作室同门。再次庆祝丝路之行采风写生活动完美收官～🥳👏👏👏 北京 王丽钧·花一溪轩主人·蘭靜香有聲的微博视频,0,0,1,758,525,f,北京,,北京,中国
