页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,关注数,粉丝数,性别,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5.04115E+15,监督员在线,2024-6-3 12:01,京津冀能源基础设施将互联互通  京津冀能源基础设施将互联互通 ,0,0,0,10609,6812,m,山东,烟台,山东,中国
2,5.04096E+15,风闻社区,2024-6-2 23:20,【孙博文：用口述访谈研究巴基斯坦恐袭，有个重大发现…】作为“一带一路”项目中最为关键的“中巴经济走廊”，不仅是未来巴基斯坦经济发展和社会基础设施建设的依据，也是我国实现互联互通、对外交流和贸易发展的门路。近年来，巴基斯坦境内恐怖主义事件频发，已经造成了上千人的伤亡，国家安全和社会秩序受到了极大的挑战和威胁，也严重威胁了中巴经济走廊项目的进行以及项目人员的生命安全。本文对2020年至2023年以来巴基斯坦境内发生的恐怖袭击事件进行回顾，结合在巴基斯坦境内的田野调查和口述访谈以及文献参考对其恐怖袭击的特点和原因进行分析。巴基斯坦境内恐怖主义肆虐，这不仅仅与巴基斯坦国内内部历史、社会和政治问题有关，也受到了国际形式和地缘政治的影响。从俾路支当地人民的视角来看，这更是极端民族主义者同巴基斯坦以及国际社会的对立。单纯地加强防恐战略部署不足以能够应对未来逐渐严峻的恐怖主义态势，更需要对俾路支等民族地区进行深层次了解，达到“去边缘化”。孙博文：用口述访谈研究巴基斯坦恐袭，有个重大发现…,5,3,14,743,249.2万,f,,上海,上海,中国
2,5.04075E+15,福州城市建设迷,2024-6-2 9:12,近年来，宁德以新发展理念为引领，牢固树立“一盘棋”“一体化”思想，与闽东北兄弟市（区）在基础设施互联互通、产业配套协作、公共服务资源共享等方面加强合作，推动区域经济向更宽领域、更深层次、更高质量迈进。 ,0,7,6,1259,23.1万,m,福建,福州,福建,中国
2,5.04073E+15,交通好声音,2024-6-2 7:56,#黄河流域生态保护和高质量发展#日照以基础设施互联互通加快融入胶东经济圈交通一体化发展2024年，日照市交通运输部门将以基础设施互联互通为抓手，积极融入胶东经济圈交通一体化发展，推进交通基础设施互联共享，推进青潍日同城化发展，加快融入青岛都市圈。开展日照到董家口地铁站、五莲到董家口地铁站等客运班线公交化开行方案研究，争取开通试点线路。根据道路交通设施建设情况和市民需求，适时新开辟、调整公共交通线路。积极创建国家公交都市。持续推动乡村振兴，实施农村公路路网提升100公里，危桥改造10座，安防工程150公里。,0,1,0,119,15,m,山东,日照,山东,中国
2,5.04019E+15,澳門廣播電視股份有限公司_TDM,2024-5-31 20:10,珠海V形地移交澳方管辖  珠海与澳门上午举行拱北口岸东南侧相关陆地和海域移交仪式，标志着上述土地正式由珠海移交本澳，用于澳门轻轨东线项目建设，行政法务司司长张永春称，此举将加强澳门与内地基础设施的互联互通，为澳门长远发展注入新活力。  #轻轨东线# 澳門廣播電視股份有限公司_TDM的微博视频 ,1,0,0,43,1946,m,中国澳门,,澳门,中国
2,5.04005E+15,南海之声,2024-5-31 11:19,#南海圆桌派#【马来西亚学者：双方“一带一路”建设成果令人瞩目】#中马建交50周年# ，双边全面战略伙伴关系稳步向前。马来西亚马来亚大学中国研究所所长饶兆斌表示，“一带一路”倡议在改善马来西亚基础设施的互联互通方面发挥了重要作用，中马合作对其他东南亚国家具有示范作用。 南海之声的微博视频,2,1,8,200,219万,m,,北京,北京,中国
2,5.04001E+15,叶飘絮飞,2024-5-31 8:12,为加快落实《算力基础设施高质量发展行动计划》，中国信通院近期启动了算力互联网架构1.0和发展指数研究工作，旨在构建一个布局合理、泛在连接、灵活高效的算力互联网。这项工作的目的是为了建立一个统一的算力资源标识和身份认证系统，实现算力互联互通体系，推动算力互联网的健康发展。 ,0,0,0,303,3011,m,湖北,鄂州,湖北,中国
2,5.03984E+15,宿州发布,2024-5-30 21:30,#小素网摘#【宿州市积极开展政策性金融支持乡村振兴暨宜居宜业和美乡村建设项目储备工作】      近期，宿州市发展改革委会同市农业农村局、市农发行，围绕粮食等重要农产品稳定安全生产、乡村产业高质量发展、乡村绿色低碳发展、城乡基础设施互联互通、美丽宜居村庄建设等5个方面，谋划储备17个项目、总投资174.42亿元、拟申贷133.46亿元。       县（区）相关部门灵活运用农发行系统“皖味贷”“链牛贷”“食品贷”“村落徽州”项目贷、“VEP绿色贷”等创新产品，灵活用好投贷联动、债贷结合等政策，深挖项目资源，按照肥瘦搭配、领域组合、捆绑打包等方式，力保实现项目收益整体平衡。      下一步，市发改委将充分利用政策性金融信贷资源和政策优势，动态梳理更新政策性支持乡村振兴项目库，指导县（区）完善前期工作，力争项目早日开工建设。（来源：市发改委  编辑：赵鹏）,0,0,0,840,30.5万,f,,宿州,安徽,中国
2,5.03984E+15,律赔,2024-5-30 21:22,西安金融律师：涉及证券基础设施的诉讼类型有哪些？登记结算机构涉诉的主要样态:（1）因证券交易登记错误而被诉损害赔偿（2）因在港股通履行股票的名义持有人职责（《内地与香港股票市场交易互联互通机制若干规定》第十三条第二款）不当被诉损害赔偿（3）涉及证券的登记、存管、结算的其他纠纷证券交易所涉诉的主要样态：（1）虚假陈述纠纷（实则交易所并非虚假陈述赔偿法律关系的当事人，但个别投资者会起诉交易所）（2）登记、存管、结算纠纷中的第三人（3）与证券交易所监管职能相关的诉讼案件本人作者：西安金融律师宋笑清，可私信或百度、微博搜索宋笑清律师。15591866072。,0,0,0,38,2,f,陕西,西安,陕西,中国
2,5.0398E+15,中国市场监管报,2024-5-30 18:50,【让“一带一路”基础设施更加联通——国家认监委实施建筑用钢筋检验国际能力验证项目记】设施联通是共建“一带一路”的优先领域。近年来，随着“一带一路”建设的深入推进，中国与共建“一带一路”国家的基础设施互联互通不断加强。作为建筑行业中用于增强混凝土的关键材料之一，钢筋在保证建筑结构的力学性能、耐久性和整体稳定性中起着至关重要的作用。在“一带一路”建筑工程建设中，钢筋进入工地并投入正式施工前，必须经过一系列严格的质量检验和准备工作，以确保其符合所有相关的安全和性能标准。然而，不同国家的应用标准和方法存在差异，经常产生技术评估和质量认证方面的摩擦或纠纷，不仅增加了项目成本、延长了建设周期，甚至可能影响国际合作关系的和谐。面对这一痛点，国家认监委于2023年4月联合海湾阿拉伯国家合作委员会标准化组织组织实施了建筑用热轧带肋钢筋力学性能、化学成分测试试验国际能力验证项目，由北京中实国金国际实验室能力验证研究有限公司具体实施，来自阿拉伯联合酋长国、巴林、沙特阿拉伯、阿曼、苏丹、卡塔尔、科威特、也门8个“一带一路”共建国家的近40家检验检测机构积极参与。该项目经过一年多的时间，完成了样品制备、样品传递、数据回收和结果统计评价等环节，目前已圆满实施完成。据介绍，钢筋的力学拉伸试验用于判断钢筋能否承受结构设计规定的荷载；其化学成分分析用于测定钢筋中碳、锰、硅、硫、磷等元素的含量，以确认钢筋是否具有所需的机械性能，适应特定建筑用途。这不仅是一项标准程序，更是保障工程质量安全的必要步骤。项目实施过程中，通过国际实验室数据比对，相关国家钢筋应用标准的一致性和可比性得以确认，解决了因标准和方法差异导致的双多边检测结果无法互认的问题，为钢筋贸易顺利开展提供支持；同时帮助参与的国际实验室发现和解决在标准理解、试验操作和试验设备等方面存在的问题，进一步提高相关检验检测机构的技术能力和水平。此次国际能力验证项目的顺利实施促进和加强了我国与共建“一带一路”国家在检验检测标准、技术和数据结果互认领域的技术交流，为“一带一路”基础设施建设提供了更加坚实的保障。（本报记者 陈静）,0,0,0,243,32.2万,m,,北京,北京,中国
