页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,关注数,粉丝数,性别,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5.03946E+15,啵莉吐泡泡,2024-5-29 19:50,促进中哈两国的民心相通！#我的阿勒泰#,0,0,0,489,31,f,广东,深圳,广东,中国
2,5.03941E+15,北京女性,2024-5-29 16:30,【“我健康 我美丽”沙龙，开启东城区中外文化交流新篇章】为深入推进国际妇女间的友好往来、推动一带一路沿线民心相通、增强中外女性民间文化交流，创建更好地互动平台，近日，东城区政协妇联界别联合世界针灸学会联合会共同举办“我健康 我美丽”中外女性文化交流沙龙。世界针灸学会联合会、中国中医科学院、区政协、区妇联、区外事办等有关单位领导，区政协委员代表应邀出席。活动邀请智利、罗马尼亚、墨西哥等有关国家驻华使馆外交官夫人、“一带一路”中医药文化研修班医疗官员在内的，来自全球10个国家的30余名国际友人参加。“我健康 我美丽”沙龙，开启东城区中外文化交流新篇章,0,0,0,208,58.8万,f,,北京,北京,中国
2,5.03915E+15,ChengduPlus,2024-5-28 23:16,#中法图像艺术各美其美# 5月10日下午，一场汇聚国内外知名艺术家的“中法图像共生艺术展”在蓉开幕。油画、涂鸦、摄影、艺术装置……多种形态的中法艺术作品在成都融合绽放、各美其美，推动了中法文化艺术的交流互鉴，促进了中法两国的民心相通。 ChengduPlus的微博视频 ,0,0,1,205,1.8万,m,,成都,四川,中国
2,5.03794E+15,成都高新市场监管,2024-5-25 15:30,#市场监管关注# 【一图读懂丨食品安全计量合作助力“一带一路”民心相通】许多“—带―路”共建国家是世界粮食主要种植区和产区，真菌毒素污染是威胁高温高湿地区粮谷安全的严重问题。为落实“一带—路”倡议，在国家市场监督管理总局支持下，中国计量科学研究院(以下简称“中国计量院”)自2016年起联合国际计量局面向“—带―路”共建国家开展食品安全计量国际合作。（市说新语）,0,0,0,840,6.6万,m,,成都,四川,中国
2,5.03784E+15,重庆黄飞,2024-5-25 9:07,水调歌头•清德很离谱         苗诗赋 清德很离谱，冒险闯红灯。宣扬台岛独立，居心起纷争。乐当强权棋子，愿作西方傀儡，失去精气神。扰乱子局势，玩火定自焚。 大中华，民心聚，朗乾坤。组织军演，台独分子吓破魂。因为血脉相连，因为灵犀相通，两岸本同根。统一定实现，华夏更缤纷。 ,0,0,1,1981,2578,m,重庆,重庆,重庆,中国
2,5.03734E+15,今日潮汕在线,2024-5-23 23:42,以公共外交促进民心相通——2024年“非洲日”暨广东（汕头）非洲经贸合作交流活动侧记网页链接 ,0,0,0,2214,15万,m,广东,汕头,广东,中国
2,5.0372E+15,成都市场监管,2024-5-23 14:31,#市场监管科普# 【一图读懂 | 食品安全计量合作助力“一带一路”民心相通】 ,1,2,2,345,22.9万,f,,成都,四川,中国
2,5.03711E+15,人民日报海外版-海外网,2024-5-23 8:24,#丝路青年说# 从过去的#茶马古道#，到如今的“一带一路”，普洱市地处“一市邻三国，一江通五邻”的重要位置，在中外各领域的交流中正在发挥着越来越大的作用。旧时的茶马古道从普洱出发，经济贸易走向世界，如今的普洱则在共建“一带一路”的过程中，通过教育架起了中老民心相通的桥梁。 丝路青年说（十二）|茶马古道：千年旧路变新途,3,0,7,424,646.2万,m,,北京,北京,中国
2,5.03709E+15,抚州发布,2024-5-23 7:09,【#东西问#丨贾静芳：“汉语热”如何在塔吉克斯坦升温？】共建“一带一路”倡议，给世界带来深刻变化，如今已成为全球深受欢迎的国际公共产品和国际合作平台。中国与塔吉克斯坦(以下简称中塔)共建“一带一路”合作走在前列。中塔人文交流如何推动两国民心相通，助力共建“一带一路”？塔吉克斯坦民族大学孔子学院前任中方院长贾静芳日前就此接受中新社“东西问”专访。（作者 陶拴科）东西问丨贾静芳：“汉语热”如何在塔吉克斯坦升温？,0,0,0,781,65万,m,,抚州,江西,中国
2,5.03697E+15,201505强,2024-5-22 23:22,🇨🇳🇺🇿 两国文化民心相通 北京·乌兹别克斯坦驻华大使馆 201505强的微博视频 ,0,0,1,383,402,m,北京,,北京,中国
3,5.03661E+15,中国新闻网,2024-5-21 23:15,【#东西问#｜浦洁：音乐何以促进中拉民心相通？】音乐如何促进中国与拉丁美洲国家民心相通？欧美同学会拉美分会副会长、青年歌唱演员浦洁曾在古巴留学，她日前接受中新社“东西问”专访时说，音乐作为“世界通用语言”，是促进中拉民心相通的重要桥梁。（作者 苏婧欣）东西问｜浦洁：音乐何以促进中拉民心相通？  ,6,5,27,1301,8060万,m,,北京,北京,中国
3,5.03647E+15,西安网络广播电视台,2024-5-21 13:50,【#中医特色优势助推中国中亚民心相通#】一年前，中国－中亚峰会在西安成功举行。峰会《西安宣言》提出，“各方应进一步深化卫生医疗合作，推进中医药中心建设，开展草药种植及加工合作，打造“健康丝绸之路”。西安中医脑病医院按以中医脑病特色优势，助推中国中亚民心相通。一年以来，已接诊当地患者 13000余人次。西安广播电视台的微博视频,0,0,0,555,8.3万,f,,西安,陕西,中国
3,5.03641E+15,晴雨风曰,2024-5-21 10:13,哈哈哈哈，民心相通//@麻辣小龙虾喂喂喂:我去这不是中国的打小人吗，怎么传到外国去了，还机械化了,0,0,1,246,31万,m,上海,,上海,中国
3,5.0362E+15,人民政协报,2024-5-20 20:08,【梁振英率全国政协调研组赴广西调研】5月13日至17日，全国政协副主席梁振英率调研组赴广西，围绕“发挥海外侨胞作用，积极参与助力‘一带一路’‘小而美’民生项目建设”开展专题调研，并就重点提案“关于支持‘一带一路’国家‘小而美’民生工程，促进民心相通的提案”进行督办调研。在广西期间，调研组赴南宁、防城港、钦州、北海等地，详细了解各地参与助力“一带一路”“小而美”民生项目等情况，并召开座谈会听取有关方面介绍、进行互动交流。调研组指出，十多年来，共建“一带一路”取得重大历史性成就，其中，一大批“小而美”民生项目在共建国家落地生根，受到当地民众热烈欢迎。去年10月，习近平总书记在第三届“一带一路”国际合作高峰论坛上，宣布了中国支持高质量共建“一带一路”的八项行动，明确指出“中方将统筹推进标志性工程和‘小而美’民生项目”，为做好这项工作进一步指明了方向、提供了重要遵循。广西是我国面向东盟开放合作的前沿和窗口，也是我国主要传统侨乡之一，在“一带一路”“小而美”民生项目建设上有许多成功实践和做法。调研组指出，要深入贯彻落实习近平总书记重要讲话精神和党中央决策部署，更好发挥海外侨胞作用，着眼民生，深入把“小而美”项目落实好；要做好宣传，特别是以共建“一带一路”国家民众喜闻乐见的方式讲好中国故事。返京后，调研组还将召开座谈会。全国政协港澳台侨委员会副主任崔玉英，全国政协常委韦朝晖，全国政协委员杨佑兴、孟振平、刘以勤、施乾平、王晶、陈亨利、李文俊、余鹏春等参加调研座谈。（记者：李寅峰）,0,0,0,183,13.1万,m,,北京,北京,中国
3,5.03613E+15,中国东盟博览会,2024-5-20 15:53,【韦朝晖拜会中国—东盟中心秘书长史忠俊】5月16日上午，东博会秘书处秘书长韦朝晖在京拜会中国—东盟中心秘书长史忠俊，就通过东博会平台推动中国—东盟民心相通特别是加强青年交流合作等达成重要共识。详情点击：韦朝晖拜会中国—东盟中心秘书长史忠俊 ,0,0,0,516,29.9万,m,,南宁,广西,中国
3,5.03606E+15,健康江苏微博,2024-5-20 10:37,【白衣外交官，“苏”写新篇章：中国传统医学，成为中欧民心相通的纽带 】2023年2月9日，习近平总书记给第十九批援助中非共和国的中国医疗队队员回信指出：“中国人民热爱和平、珍视生命，援外医疗就是生动的体现。希望你们不忘初心、牢记使命，大力弘扬不畏艰苦、甘于奉献、救死扶伤、大爱无疆的中国医疗队精神，以仁心仁术造福当地人民，以实际行动讲好中国故事，为推动构建人类卫生健康共同体作出更大贡献。”多年来，历届援马耳他医疗队薪火相传，以实际行动践行着这种中国医疗队精神，为传播中医文化、促进中马人文交流作出积极贡献。他们凭借精湛的技术和高尚的医德在当地获得了良好的口碑。白衣外交官，“苏”写新篇章（29）：中国传统医学，成为中欧民心相通的纽带,0,0,0,217,13.8万,m,,南京,江苏,中国
3,5.03574E+15,正义的小六,2024-5-19 14:01,【#要闻精选# 】人文交流将中塞人民的心拉得更近［#塞尔维亚#］人文交流将中塞人民的心拉得更近。中国和塞尔维亚相距遥远，但两国人民始终心手相连。在构建新时代中塞命运共同体新征程上，双方将始终做民心相通的好知音，打造立体多元的人文交流和地方合作格局，让中塞友好薪火相传。 人文交流将中塞人民的心拉得更近,0,0,0,4896,3455,m,山西,阳泉,山西,中国
3,5.03544E+15,健康无锡,2024-5-18 17:47,【援马手记 ｜中国传统医学，成为中欧民心相通的纽带】（编辑：雨笛  审核人：卫宣  发布人：卫融）援马手记 ｜中国传统医学，成为中欧民心相通的纽带 ,0,0,0,68,6980,m,,无锡,江苏,中国
3,5.03508E+15,山东外贸职业学院微协,2024-5-17 17:54,山东外贸职业学院 🎉 庆贺中俄建交璀璨75载，2024年，我们携手步入“中俄文化年”的绚丽殿堂，这不仅是两国深厚友谊的华丽绽放，更是文化互鉴、民心相通的盛大庆典！#山外资讯#,0,0,1,132,1848,f,山东,青岛,山东,中国
