页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,关注数,粉丝数,性别,发布于,ip属地_城市,ip属地_省份,ip属地_国家
2,5.0375E+15,山西经济日报社微博,2024-5-24 10:35,#山西##太原身边事# 【山东港口——山西（洪洞）内陆港揭牌成立】5月21日，山东港口·山西（洪洞）内陆港揭牌仪式在洪洞县恒富煤化集团有限公司举行。内陆港的成立将为临汾、日照两地加速物流运输、加快贸易往来奠定坚实基础。　　据了解，山东港口作为黄河流域最便捷的出海口，在畅通国际物流通道、稳定产业链供应链、促进沿黄流域高水平对外开放中发挥了重要作用。2023年，山东港口海铁联运箱量突破360万标箱，稳居全国沿海港口首位。　　山东港口·山西（洪洞）内陆港的设立，可将山东港的海关、铁路、港口等物流资源及服务功能延伸到洪洞内陆港，为洪洞县乃至临汾市煤焦产业链、物流链的安全稳定和高质量发展提供口岸支持，进一步提高企业物流运转效率，实现港口与腹地同频共振，服务地方经济社会协同高质量发展，打造洪洞便捷、高效、经济的出海口。（山西经济日报全媒体记者 张文华）,0,0,1,985,11.7万,m,,太原,山西,中国
2,5.03747E+15,河口融媒,2024-5-24 8:31,【加强合作，释放新能源汽车产业减排潜力（国际论坛）】 中国积极支持新能源汽车及其供应链企业优化国际合作，推进新能源汽车贸易合作健康发展，维护相关产业全球供应链稳定畅通运转加强合作，释放新能源汽车产业减排潜力（国际论坛） ,0,0,0,87,1016,f,,红河哈尼族彝族自治州,云南,中国
2,5.03606E+15,山东国资,2024-5-20 11:10,#你好 山东国企# 【山东港口烟台港中非件杂货班轮发运量提前突破百万吨】1-4月份@山东省港口集团 烟台港累计进口几内亚铝土矿近1200万吨，完成中非班轮发运119.3万吨，稳居世界铝土矿进口第一港和中国对非贸易第一口岸，彰显山东港口构建核心竞争优势，畅通国内国际“双循环”，高质量共建“一带一路”的强劲发展动能。,0,8,8,216,13.6万,m,,济南,山东,中国
2,5.03528E+15,庚白星君,2024-5-18 7:08,北极航线来了。。$中远海特(SH600428)$ $中远海控(SH601919)$财联社5月15日电，交通运输部部长李小鹏表示。“加强北极航道合作对保障中俄两国贸易畅通和国际物流供应链稳定具有重要意义。希望双方加强沟通对接、深化务实合作，落实好两国领导人重要共识，共同推动中俄北极航道合作迈上新台阶。”北极航线距离短。运距相当于绕行好望角的一半。约为红海航线的2/3.具有天然优势。但因为基础设施，通讯等原因。过去几年一直处于建设和试航期。当前许多船司对北极航线抱有疑虑。宁可绕行也不愿意走北极航线。但今年红海危机令船运紧张。北极航线大开发加速不足为奇。。毕竟运距对折的情况下。走北极航线。运力上一艘船相当于绕行两艘船。其实去年10月份。普京就已经宣布今年开始。北极航线将实现“全年同行”。为了确保航行通畅。俄罗斯新造了8艘核动力破冰船。并已全部投运。以往年份。北极航线都是从7月份才开始航行。各航司也都是在进行实验性质的航行测试。但是今年不同。今年5月初，俄罗斯油轮已经大规模开始从北极航线向中国运送原油。成为第一个大规模吃螃蟹的人。交通部部长表态。在我看来。透露出重要的信息。这个信息就是：航运压力以及价格的飙升已经引起高层领导的重视。相信后面会陆续出台政策帮助出口企业渡过难关。白令海峡属于公共海域。如果美国封锁的话形同如中俄开战。。所以不会有通行问题 。而且北极航线不仅仅可以经过俄罗斯去欧洲。。还可以去加拿大和美国。这对大家都是有利的。只不过这个航线对于俄罗斯来说。意义重大。他就比美国积极。做了很多准备工作。而美国之前就没什么准备。现在就是看着中俄搞起来了觉得眼红。但是美国人也不傻。既然有好处。他抓紧跟上就可以了。最不济从俄罗斯买几艘核动力破冰船也就可以了。。。所以未来的趋势是先俄欧后美国。。两家瓜分航线红利。中国多了一条路。当然也是很大受益者。苏伊士运河的通行费用是很贵的 燃油费的节约基本上都交过路费了 但是因为节约时间 大部分船只还是走苏伊士运河。但是一些大船本来就是宁可绕道好望角 因为大船的速度快很多 节约时间方面的压力小很多 燃料费用与过路费算下来 反而是绕道划算。所以中欧航线从一开始就有15%左右的运力是走好望角的。还有一些是先走南美 然后再去欧洲北美的。这一部分运力也是本来就要绕行的。,18,3,26,17740,95万,m,上海,上海,上海,中国
2,5.03513E+15,王先庆,2024-5-17 21:18,王先庆：如何增强和保障中国全球贸易与物流体系的安全畅通 网页链接 ,0,0,0,2598,21.6万,m,广东,广州,广东,中国
2,5.03506E+15,中国东盟博览会,2024-5-17 16:41,【质升量稳，外贸新动能活力澎湃】外贸是拉动经济增长的重要引擎，是畅通国内国际双循环的关键枢纽。一季度，我国货物贸易进出口总值10.17万亿元，同比增长5%，增速创6个季度以来新高。前4个月，我国货物贸易进出口总值13.81万亿元，同比增长5.7%，规模创历史同期新高。(来源：人民日报）详情点击：质升量稳，外贸新动能活力澎湃,0,0,0,516,29.9万,m,,南宁,广西,中国
2,5.03496E+15,外贸发布BBS,2024-5-17 9:51,#外贸发布# 【中国工商界呼吁美方立即取消对华加征关税措施，共同维护产业链供应链稳定畅通】据中国贸促官微消息，美国当地时间2024年5月14日，美国贸易代表办公室发布对华加征301关税四年期复审结果，宣布在原有对华301关税基础上，进一步提高对自华进口相关产品加征关税。中国工商界对此表示坚决反对。中国电动汽车、锂电池、光伏电池等相关行业通过持续技术创新、积极参与市场竞争，深度融入全球供应链，为全球节能减排、绿色创新发展注入了强劲动力。美国贸易代表办公室无视世贸组织规则，继续滥用301关税复审程序大幅提高部分自华进口产品关税，这是典型的单边主义和贸易保护主义做法。与此同时，美国还为本国电动汽车、半导体等产业提供大量补贴，这种做法明显违背市场经济原则和国际经贸规则，严重破坏了全球产业链供应链稳定与安全。中国贸促会、中国国际商会代表中国工商界呼吁美方切实遵守世贸组织规则，立即取消对华加征关税措施，鼓励中美工商界加强互信与合作，共同维护产业链供应链稳定畅通，加快推动世界经济复苏。,0,0,1,336,1.3万,m,上海,,上海,中国
2,5.0346E+15,长江航运,2024-5-16 10:14,【李小鹏会见俄罗斯国家原子能集团总经理利哈乔夫】5月15日，交通运输部部长李小鹏在京会见了俄罗斯国家原子能集团总经理利哈乔夫，双方就加强中俄北极航道合作深入沟通交流，并就共同关心的议题交换了意见。李小鹏对利哈乔夫一行表示欢迎。他指出，加强北极航道合作对保障中俄两国贸易畅通和国际物流供应链稳定具有重要意义。希望双方加强沟通对接、深化务实合作，落实好两国领导人重要共识，共同推动中俄北极航道合作迈上新台阶。利哈乔夫表示，期待与中方在北极航道合作等方面深化交流，拓展更多合作机会，充分发挥各自优势，更好实现互利共赢。工业和信息化部有关司局，部机关有关司局和部属有关单位负责同志参加会见。,8,4,17,165,4万,m,,武汉,湖北,中国
2,5.03433E+15,船政文化博物馆,2024-5-15 16:26,诞生于1994年的盛会，如今已成为海峡两岸颇负盛名的综合性投资贸易活动，在促进两岸融合发展与经贸合作畅通上，发挥重要作用。在它将要迈向“而立”之年时，让我们回溯历史，再次认识它、了解它。 海交会30周年！让世界认识福州，让福州走向世界→ ,0,0,0,59,146,f,福建,福州,福建,中国
2,5.03431E+15,福州晚报,2024-5-15 14:46,#关注海交会# 【打造两岸融合发展先行先试重要平台 海交会取得四方面成效】作为海峡两岸颇负盛名的综合性投资贸易活动，海交会在探索海峡两岸融合发展新路、促进两岸经贸合作畅通等方面发挥了重要作用。记者从省台办获悉，经历30年发展，海交会取得了明显成效，主要体现在以下四个方面：深化两岸经贸产业合作；完善惠台利民政策保障；推进福马“同城生活圈”建设；促进台湾青年创业就业。打造两岸融合发展　先行先试重要平台　海交会取得四方面成效,0,0,0,769,268万,m,,福州,福建,中国
